                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88045,                0.71077,                 1.2963,                0.86602,                0.78014,                0.87068,                0.59566,                 1.1312,                0.74496,                 1.5463,              0.0004085,              0.0004085,              0.0004085
                     36,                0.87464,                0.70499,                 1.2901,                0.83487,                0.82665,                0.87634,                0.61429,                 1.1461,                0.75002,                 1.5619,             0.00038375,             0.00038375,             0.00038375
                     37,                0.86332,                0.68938,                 1.2776,                0.86001,                0.79239,                0.86953,                0.59461,                 1.1541,                0.78387,                 1.5675,               0.000359,               0.000359,               0.000359
                     38,                0.86493,                0.68706,                 1.2812,                0.85095,                0.82755,                0.88111,                0.61508,                 1.1414,                0.73646,                 1.5455,             0.00033425,             0.00033425,             0.00033425
                     39,                0.85964,                 0.6652,                 1.2768,                0.86219,                0.80452,                 0.8746,                 0.6045,                 1.1544,                0.76425,                 1.5571,              0.0003095,              0.0003095,              0.0003095
                     40,                0.84752,                0.65008,                 1.2645,                0.84415,                0.80521,                0.87266,                0.60646,                 1.1576,                0.76788,                 1.5666,             0.00028475,             0.00028475,             0.00028475
                     41,                0.78909,                0.47889,                 1.3177,                0.85199,                0.80826,                0.86997,                0.60253,                 1.1561,                0.79907,                 1.5688,                0.00026,                0.00026,                0.00026
                     42,                 0.7555,                0.44217,                 1.2864,                0.85616,                0.79533,                0.87292,                0.60794,                 1.1802,                0.76957,                 1.6082,             0.00023525,             0.00023525,             0.00023525
                     43,                0.74271,                0.42558,                 1.2742,                 0.8508,                0.81728,                0.87395,                0.60403,                 1.1827,                0.77495,                 1.6056,              0.0002105,              0.0002105,              0.0002105
                     44,                0.72518,                 0.4152,                 1.2638,                 0.8533,                0.82118,                0.88088,                0.61615,                  1.153,                0.75845,                 1.5762,             0.00018575,             0.00018575,             0.00018575
                     45,                0.70911,                 0.3946,                 1.2459,                0.87982,                0.80554,                0.88743,                0.61953,                 1.1566,                0.72875,                 1.5818,               0.000161,               0.000161,               0.000161
                     46,                0.69004,                 0.3808,                 1.2385,                0.85978,                0.82068,                 0.8844,                0.61937,                 1.1694,                0.73156,                 1.5956,             0.00013625,             0.00013625,             0.00013625
                     47,                0.67664,                0.37329,                 1.2213,                0.87786,                0.80595,                0.87617,                0.61616,                 1.1738,                0.72923,                  1.619,              0.0001115,              0.0001115,              0.0001115
                     48,                0.66444,                0.36288,                 1.2139,                0.87066,                0.80586,                0.88011,                0.61676,                 1.1683,                0.75761,                 1.6137,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.64921,                0.35665,                 1.2023,                0.84696,                0.82323,                0.88165,                0.61643,                 1.1546,                0.74831,                 1.5965,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.64158,                0.35074,                 1.1955,                0.88083,                0.80069,                0.87854,                0.61454,                 1.1564,                0.74544,                 1.6044,              3.725e-05,              3.725e-05,              3.725e-05
